recipe_name|category|method|effect_category|ingredients|ingredient_category
Roasted Quail|Dish|['Stir-fry', 'Boil']|[]|['one', 'sheep’s tail', 'finely ground ginger', 'Chinese radishes', 'Quail']|meat
Plate Rabbit|Dish|['Stir-fry']|[]|['fine spices', 'sheep’s tail', 'Chinese radishes', 'Rabbit']|meat
“Tangut” Lungs|Dish|['Boil']|[]|['juice of sprouting ginger', 'black pepper', 'butter', 'flour', 'leeks', 'Sheep’s lung']|['juice' 'spice' 'grain' 'vegetable' 'meat']
Turmeric[–Colored] Tendon|Dish|['Deep-fry']|[]|['gardenia nuts [Gardenia jasminoides]', 'za’faran', 'white flour', 'bean paste', 'sheep ribs', 'Sheep’s tendon']|['chinese_medicinal_material' 'meat']
Drum Qazi|Dish|['Deep-fry', 'Boil']|[]|['spices', 'prepared mandarin orange peel', 'onions', 'sprouting ginger', 'eggs', 'sheep’s tail', 'Mutton']|['plant' 'vegetable' 'meat']
Sheep’s Heads Dressed in Flowers|Dish|['Stir-fry']|[]|['Chinese radishes', 'eggs', 'pickled ginger', 'sprouting ginger', 'sheep’s stomach and lungs', 'sheep’s loins', 'Sheep’s heads']|['meat' 'spice' 'vegetable']
Fish Cakes|Dish|['Deep-fry']|[]|['kasni', 'finely ground black pepper', 'finely ground prepared mandarin orange peel', 'onions', 'sprouting ginger', 'sheep’s tail', 'Large carp']|['plant' 'spice' 'chinese_medicinal_material' 'vegetable' 'meat' 'seafood']
Cotton Rose–[Petal] Chicken|Dish|['Stir-fry']|[]|['apricot kernel paste', 'safflower [and] gardenia nuts', 'Spinacia oleracea] and coriander', 'spinach [true spinach', 'eggs', 'carrots', 'sprouting ginger', 'sheep’s stomach and lungs', 'Chickens']|['chinese_medicinal_material' 'other' 'meat' 'vegetable']
Meat Cakes|Pancake|['Deep-fry']|[]|['finely ground coriander', 'long pepper', 'black pepper', 'kasni', 'Select mutton']|['chinese_medicinal_material' 'spice' 'plant' 'meat']
Salt Stomach|Dish|['Deep-fry']|[]|['Sheep’s bitter bowel']|meat
Näwälä|Dish|[]|[]|['eggs', 'Cooked sheep’s thoraxes']|meat
Turmeric[–Colored] Fish|Dish|['Deep-fry', 'Stir-fry', 'Braise']|[]|['finely ground coriander', 'bean paste', 'white flour', 'Carp']|['meat' 'seafood']
Deboned Wild Goose Morsels|Dish|['Stir-fry']|[]|['finely ground ginger', 'Wild geese']|[]
Galangal Sauce Hog’s Head|Dish|['Stir-fry', 'Simmer']|[]|['honey', 'vegetable oil', 'tsaoko cardamom', 'cinnamon', 'Chinese flower pepper', 'lesser galangal', 'prepared mandarin orange peel', 'Hog’s head']|['other' 'grain' 'spice' 'chinese_medicinal_material' 'plant' 'meat']
Cattail “Sweet Melon Pickles”|Dish|[]|[]|['cattail [rhizome]', 'Chinese flower pepper', 'Cleaned mutton']|['chinese_medicinal_material' 'spice' 'meat']
Deboned Sheep’s Head Morsels|Dish|['Stir-fry']|[]|['black pepper', 'finely ground ginger', 'Sheep’s head']|['spice' 'meat']
Deboned Ox Hoof Morsels (Horse’s Hoof, Bear’s Paw are entirely the same)|Dish|['Stir-fry']|[]|['finely ground ginger', 'Ox hooves']|meat
Fine Chizig|Dish|['Stir-fry']|[]|['ka’fur [Camphor]', 'sheep’s tail', 'Chinese radish', 'Mutton']|['other' 'meat' 'vegetable']
Liver and Sprouting [Ginger]|Dish|[]|[]|['smartweed', 'basil', 'Chinese radish', 'sprouting ginger', 'Sheep’s liver']|['vegetable' 'meat']
Horse Stomach Plate|Dish|['Stir-fry']|[]|['finely ground mustard', 'Horse stomach and intestines']|['condiment' 'meat']
Scalded Jasa’a (a delicacy)|Dish|['Deep-fry', 'Braise']|[]|['onions', 'kasni', 'Jasa’a']|['vegetable' 'plant' 'other']
Boiled Sheep’s Hooves|Dish|['Stir-fry']|[]|['finely ground ginger', 'Sheep’s hooves', 'Ingredients']|meat
Boiled Sheep’s Breast|Dish|['Stir-fry']|[]|['remove the hair and wash. Cook until tender. Cut up into sashuq', 'two', 'Sheep’s breasts']|['other' 'vegetable' 'meat']
Fine Fish Hash|Dish|['Stir-fry']|[]|['basil and smartweed', 'onions', 'Chinese radishes', 'sprouting ginger', 'Young carp']|['chinese_medicinal_material' 'vegetable' 'seafood']
Red Strips|Dish|[]|[]|['basil and smartweed', 'Chinese radish', 'sprouting ginger', 'Sheep’s blood combined with white flour']|['chinese_medicinal_material' 'vegetable']
Roast Wild Goose (Roast Cormorant and Roast Duck are the same)|Dish|['Roast']|[]|['finely ground coriander', 'onions', 'sheep’s stomach [and attached skin]', 'Wild goose']|['vegetable' 'meat']
Roast Eurasian Curlew|Dish|['Roast', 'Steam']|[]|['spices', 'onions', 'finely ground coriander', 'Eurasian curlews']|['vegetable' 'other']
Willow–Steamed Lamb|Dish|['Roast']|[]|['A sheep']|meat
Quick Manta|Steamed bun|[]|[]|['onions', 'mutton fat', 'Mutton']|['vegetable' 'meat']
Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|Steamed bun|[]|[]|['prepared mandarin orange peel', 'sprouting ginger', 'sheep’s tail', '[Dried] deer milk fat']|['plant' 'vegetable' 'meat' 'dairy_product']
Eggplant Manta|Steamed bun|['Steam']|[]|['onions', 'sheep’s tail', 'sheep’s fat', 'Mutton']|['vegetable' 'meat']
Cut Flowers Manta|Steamed bun|['Steam']|[]|['sheep’s tail', 'sheep’s fat', 'Mutton']|meat
Quartz Horns|Dish|[]|[]|['onions', 'sheep’s tail', 'sheep’s fat', 'Mutton']|['vegetable' 'meat']
Butter Skin Yubqa|Dish|[]|[]|['onions', 'sheep’s tail', 'sheep’s fat', 'Mutton']|['vegetable' 'meat']
Päräk Horns|Dish|[]|[]|['sheep’s tail', 'sheep’s fat', 'Mutton']|meat
Shilön Horns|Dish|[]|[]|['onions', 'sheep’s tail', 'sheep’s fat', 'Mutton']|['vegetable' 'meat']
Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|Dish|['Steam']|[]|['prepared mandarin orange peel', 'onions', 'sheep’s tail', 'sheep’s fat', 'Mutton']|['plant' 'vegetable' 'meat']
Qurim “Bonnets” [i.e., boqtas]|Dish|['Steam']|[]|['onions', '[and] [sheep’s] bitter bowel', 'sheep’s stomach and lungs', 'eggs', 'Chinese yams', 'bean paste', 'sprouting ginger', 'vegetable oil', 'fruit of Gardenia jasminoides', 'safflower', 'nuts [Pistachio nuts]', 'pist', 'walnuts', 'apricot kernel paste', 'g [mushrooms]', 'm', 'badam [almonds]', 'pine pollen', 'euryale seeds', 'sheep’s tail', 'Mutton']|"['vegetable' 'condiment' 'meat' 'grain' 'spice' 'other' 'fruit'
 'chinese_medicinal_material' 'plant']"
Poppy Seed Buns|Pancake|['Roast']|[]|['poppy seeds', 'liquid butter', 'cow’s milk', 'White flour']|['other' 'dairy_product' 'meat' 'grain']
Cow’s Milk Buns|Pancake|['Roast']|[]|['fennel', 'liquid butter', 'cow’s milk', 'White flour']|['chinese_medicinal_material' 'dairy_product' 'meat' 'grain']
Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |Soup|['Simmer']|['Others']|['Borbi[n]']|[]
Miqan–u kö[n]lesün|Dish|[]|['General Health and Wellness']|['One sheep’s rear leg']|[]
